"Daily Weather Observations for Melbourne (Olympic Park), Victoria for April 2014"
"Prepared at 13:03 UTC on Wednesday 13 May 2015   IDCJDW3033.201404"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The closest station with evaporation and sunshine hours observations is at Bundoora 086351 , about 16 km to the north. The closest station with cloud observations is  Melbourne Regional Office 086071, about 4.5 km to the north-northeast."
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-04-1,17.9,33.1,0,,,NNW,39,12:48,22.2,63,,NNE,9,1016.1,32.6,28,,N,22,1012.2
,2014-04-2,22.2,24.9,0,,,N,35,04:24,23.8,52,,N,17,1013.2,18.1,91,,S,13,1014.3
,2014-04-3,15.6,17.7,0.2,,,S,30,13:46,17.0,66,,S,7,1020.0,16.3,78,,SSW,17,1020.4
,2014-04-4,14.2,19.4,0,,,S,35,14:52,15.7,72,,SSE,13,1022.1,19.1,63,,SSW,11,1019.5
,2014-04-5,14.8,24.2,0,,,SSE,33,15:53,17.3,82,, ,Calm,1021.7,23.5,52,,SSE,11,1019.5
,2014-04-6,11.8,24.3,0,,,ESE,30,17:55,14.6,90,,N,6,1024.5,23.8,50,,SSE,9,1021.6
,2014-04-7,13.4,25.5,0,,,N,28,13:56,16.7,77,,NE,7,1023.8,24.3,43,,NNE,13,1020.0
,2014-04-8,16.6,22.1,0,,,N,37,10:10,20.3,56,,N,9,1020.0,17.7,89,,N,7,1019.1
,2014-04-9,16.8,17.9,13.4,,,NNE,19,10:31,17.4,95,,NE,4,1019.7,17.6,96,,NE,7,1017.1
,2014-04-10,16.7,19.0,18.2,,,S,20,23:41,17.2,100,,NE,4,1013.6,18.8,91,,E,2,1009.2
,2014-04-11,17.2,18.6,10.2,,,S,43,13:37,18.0,89,,S,13,1011.6,17.2,88,,SSW,17,1012.8
,2014-04-12,15.1,22.3,0.4,,,ESE,39,17:45,17.4,82,,SSE,15,1018.9,21.5,63,,SSE,15,1017.1
,2014-04-13,11.7,20.3,0,,,S,31,15:30,16.0,78,,ESE,9,1021.0,19.6,62,,S,17,1019.7
,2014-04-14,11.7,20.6,0,,,SE,31,11:31,16.0,72,,SSE,11,1023.9,19.0,48,,SSE,15,1021.7
,2014-04-15,10.0,20.3,0,,,SE,31,11:34,15.9,70,,SE,13,1024.1,19.4,63,,SSW,13,1021.5
,2014-04-16,9.9,21.0,0,,,S,20,16:30,13.6,91,,NNW,9,1021.2,20.3,62,,SW,6,1018.1
,2014-04-17,10.9,23.5,0,,,N,19,22:34,14.5,79,,NE,9,1021.2,23.2,41,,SSW,7,1018.1
,2014-04-18,12.7,18.7,0,,,WSW,43,10:35,17.8,60,,N,9,1014.9,17.1,56,,SSW,19,1017.1
,2014-04-19,11.8,17.0,2.2,,,W,28,10:29,13.2,73,,W,7,1020.6,15.7,54,,S,9,1018.7
,2014-04-20,12.5,19.2,0,,,NNW,28,10:58,14.1,59,,NNW,9,1018.2,17.9,41,,WNW,6,1016.3
,2014-04-21,12.3,19.0,0,,,N,52,18:32,15.0,50,,N,22,1019.2,18.7,43,,N,24,1015.7
,2014-04-22,13.5,17.2,5.4,,,NNW,56,05:09,13.6,83,,N,19,1015.6,17.2,80,, ,Calm,1014.5
,2014-04-23,10.9,18.4,4.8,,,N,20,22:59,13.7,77,,W,6,1017.2,17.6,60,,S,6,1013.5
,2014-04-24,13.3,17.0,0.2,,,SSW,37,10:34,14.0,83,,W,11,1015.2,16.4,40,,SSW,11,1017.6
,2014-04-25,6.3,20.7,0.2,,,N,39,13:29,9.7,73,,NNE,9,1020.6,20.2,41,,NNW,20,1013.5
,2014-04-26,9.6,19.2,0,,,N,31,05:07,18.2,53,,N,15,1011.8,16.1,58,,SSW,7,1015.1
,2014-04-27,7.5,16.7,0,,,SSE,35,11:42,13.2,58,,ESE,13,1025.9,16.3,45,,ESE,13,1022.5
,2014-04-28,6.5,22.8,0,,,N,48,10:56,13.9,70,,N,9,1020.7,20.8,50,,N,24,1016.4
,2014-04-29,13.9,20.2,0,,,N,54,06:07,19.6,70,,N,22,1009.7,16.9,90,,N,13,1007.7
,2014-04-30,10.4,16.3,12.8,,,S,31,14:18,11.0,91,,W,7,1017.7,15.7,49,,S,13,1018.9
